LoadID,BusName,OriginalDemand,efficient_relaxed,efficient_integer,equality_min_relaxed,equality_min_integer,prop_fair_relaxed,prop_fair_integer,jain_relaxed,jain_integer
4,675,485.0,136.1980030740276,485.0,270.87403504902124,485.0,321.9340220257115,485.0,192.54483298419262,485.0
1,634,160.0,159.99999330673194,0.0,160.00000159299594,160.0,0.00019408216426799899,0.0,131.6265853110208,0.0
12,675,290.0,87.51110288212031,290.0,113.98561693432606,290.0,172.9997394957981,290.0,54.950608525857234,290.0
2,675,68.0,1.8271280408422693e-5,0.0,67.99999270481761,68.0,6.049131606110217e-6,0.0,28.78656571604509,0.0
6,646,230.0,229.9999720903086,0.0,230.00000107944012,230.0,116.06765767374253,0.0,187.64414525511876,0.0
11,634,120.0,3.171420022939938e-5,0.0,119.99999976505634,120.0,8.82043459950758,0.0,2.7879640194037155e-5,0.0
13,692,170.0,169.99999132670223,0.0,170.00000168604856,170.0,35.14198003366337,0.0,114.6997409490334,0.0
5,652,128.0,128.00000050765095,0.0,128.00000127874762,0.0,1.3678093735530009e-5,0.0,128.00000052759455,0.0
15,611,170.0,169.99994645781098,0.0,169.99999393382996,0.0,53.04917045641032,0.0,136.33022593314163,0.0
14,670,17.0,-2.097197118146462e-9,0.0,17.00000007537894,0.0,7.243887247433889e-8,0.0,2.855805056408488,0.0
7,645,170.0,151.85769660219597,170.0,170.00000038489028,0.0,58.836688756307616,170.0,169.99996517391344,170.0
8,670,117.0,43.947784778996045,0.0,1.1277896836544817e-7,0.0,0.04012343953282428,0.0,78.97196023818005,0.0
10,670,66.0,55.60280749180076,0.0,65.99999996999908,0.0,6.682283033574169e-7,0.0,29.54309006637431,0.0
9,634,120.0,0.00172250675045345,0.0,66.72303688766803,120.0,2.997104886582211,0.0,79.72698186852111,0.0
3,671,1155.0,418.6183658532177,1155.0,270.87403505217856,1155.0,1008.9271102463392,1155.0,419.544821852481,1155.0
