load_id,demand,final_pshed,final_weight,shed_fraction
1,160.0,109.99954998031622,9.999990201345195,0.6874971873769764
2,68.0,19.50027226999875,9.700000024284337,0.2867687098529228
3,1155.0,1004.9986690595692,9.999999988481303,0.8701287178004928
4,485.0,434.99951945580233,9.999999959777027,0.8969062256820667
5,128.0,79.50282124413947,9.700018741305897,0.6211157909698396
6,230.0,129.99593846270486,9.999995732203535,0.5651997324465429
7,170.0,120.00016624687345,9.999051301401678,0.7058833308639615
8,117.0,68.50000621029282,9.700000023692363,0.5854701385495114
9,120.0,71.50027081162816,9.70000003051058,0.5958355900969013
10,66.0,17.50001349695763,9.700000023598509,0.2651517196508732
11,120.0,71.50027076072111,9.700000019695961,0.5958355896726759
12,290.0,240.54812414406987,9.89042681881141,0.8294762901519651
13,170.0,71.50027072078728,9.849952414440908,0.42058982776933695
14,17.0,5.707029543095186e-6,9.998144543072094,3.3570762018206976e-7
15,170.0,120.00015049858239,9.999999201263046,0.7058832382269552
