switch_name,phase,p,q,s_mag,current_rating,is_closed
632645,1,243.86569880845562,150.1315444330301,286.37381110915726,264.0,true
632645,2,251.51536837297766,144.00546521017887,289.82331607066175,264.0,true
632645,3,283.1750421597182,41.532914854652226,286.2046252569689,264.0,true
671692,1,0.0,0.0,0.0,70.0,true
671692,2,0.0,0.0,0.0,70.0,true
671692,3,0.0,0.0,0.0,70.0,true
632633,1,336.50189425815967,16.818566395842897,336.9219331164729,310.0,true
632633,2,132.82913228652,-109.28926491327584,172.01081887275004,310.0,true
632633,3,259.7124733489035,2.262656438408495,259.7223294735421,310.0,true
646611,1,243.86569880845562,150.1319523312977,286.37402495014004,264.0,true
646611,2,136.51536961053054,78.00588208242908,157.23028900106237,264.0,true
646611,3,168.17504172086933,-24.46667934075779,169.94547083043904,264.0,true
