switch_name,phase,p,q,s_mag,current_rating,is_closed
632645,1,243.20701434156607,151.82933284744,286.7085595824398,264.0,true
632645,2,242.17330234839918,159.1060065870556,289.76305786350565,264.0,true
632645,3,285.1924614088075,28.28565281326457,286.5917273744773,264.0,true
671692,1,0.0,0.0,0.0,70.0,true
671692,2,0.0,0.0,0.0,70.0,true
671692,3,0.0,0.0,0.0,70.0,true
632633,1,337.28839519652945,-1.8350726596934326,337.29338716600506,310.0,true
632633,2,132.93940313599683,-128.12502521473937,184.63181468109084,310.0,true
632633,3,260.18275125889994,-16.352676588111745,260.6961336196722,310.0,true
646611,1,243.20701434156607,151.82974167269137,286.70877608007555,264.0,true
646611,2,115.20701308279503,65.82966884816109,132.68836107254418,264.0,true
646611,3,284.6917116513318,27.998672978040943,286.0651960156921,264.0,true
