switch_name,phase,p,q,s_mag,current_rating,is_closed
632645,1,248.93348477541838,142.24444759003632,286.70780022982984,264.0,true
632645,2,251.66616821137364,143.81271419980044,289.85851201527424,264.0,true
632645,3,283.27049727285373,41.247995310131635,286.25787629742956,264.0,true
671692,1,0.0,0.0,0.0,70.0,true
671692,2,0.0,0.0,0.0,70.0,true
671692,3,0.0,0.0,0.0,70.0,true
632633,1,337.16035669257565,-0.6834210124022839,337.1610493359887,310.0,true
632633,2,132.83951780454413,-126.65346263390083,183.54137704534287,310.0,true
632633,3,260.05022524946315,-14.838952583138456,260.4732503848738,310.0,true
646611,1,248.93348477541838,142.24485633626176,286.7080030214664,264.0,true
646611,2,248.93348543202413,142.24480830850175,286.70797976348365,264.0,true
646611,3,280.5378134420214,39.6800788564856,283.33014917034035,264.0,true
