switch_name,phase,p,q,c_mag,current_rating,is_closed
632645,1,0.0,-0.0003736266734030045,0.00035963487708078935,700.0,true
632645,2,285.0000027134833,190.99963296834997,332.0062731146502,700.0,true
632645,3,115.00000105754707,65.99962908405058,127.89090664685772,700.0,true
671692,1,-169.52226637185979,-98.19934655098139,190.20433535379806,700.0,true
671692,2,-156.2609797353417,-89.28941901957538,174.73056466947241,700.0,true
671692,3,-156.2609780733939,17.20597697182636,152.62660540900876,700.0,true
632633,1,617.2259765366215,107.9459493016771,603.1290795545483,700.0,true
632633,2,316.598818865898,1.7235048189445688,306.38180478825547,700.0,true
632633,3,448.29000012051085,-14.111863043631834,432.60606835123724,700.0,true
646611,1,0.0,0.0,0.0,700.0,true
646611,2,0.0,0.0,0.0,700.0,true
646611,3,0.0,0.0,0.0,700.0,true
