load_id,pd,qd,pshed,qshed,z_demand
1,159.99999816117202,109.99999873580576,1.8388279825848042e-6,1.264194242704006e-6,0.9999999885073251
2,40.337839953868624,35.59221172400173,27.662160046131373,24.40778827599827,0.5932035287333621
3,468.78294196498484,267.8759668371342,686.2170580350153,392.1240331628659,0.40587267702596086
4,287.70371143568065,112.7086704593388,197.29628856431933,77.2913295406612,0.5932035287333621
5,13.261286816257808,8.909927079673215,114.73871318374219,77.09007292032678,0.10360380325201413
6,230.00000222083017,132.0000012745634,-2.2208301322548244e-6,-1.2745633868561682e-6,1.0000000096557833
7,170.00000162872644,125.00000119759297,-1.6287264295400928e-6,-1.1975929714868322e-6,1.0000000095807438
8,117.00000083619179,68.0000004859918,-8.361918035187868e-7,-4.85991817228468e-7,1.0000000071469384
9,119.99999862087901,89.99999896565926,1.3791209827412893e-6,1.0343407440285837e-6,0.9999999885073251
10,66.00000047169793,38.00000027158366,-4.716979418322678e-7,-2.715836597461065e-7,1.0000000071469384
11,119.99999862087901,89.99999896565926,1.3791209876141193e-6,1.034340744029451e-6,0.9999999885073251
12,172.02902333267502,125.75914809147277,117.97097666732498,86.24085190852722,0.5932035287333621
13,-1.658857976905415e-6,-1.4734562030159865e-6,170.00000165885797,151.0000014734562,-9.757988099443618e-9
14,17.00000012149795,10.000000071469383,-1.2149795408160295e-7,-7.14693853127054e-8,1.0000000071469384
15,-1.6227548588952057e-6,-7.636493453624498e-7,170.00000162275487,80.00000076364934,-9.545616817030622e-9
