load_id,pd,qd,pshed,qshed,z_demand
1,159.99999954117857,109.99999968456025,4.5882144110090774e-7,3.1543976030014454e-7,0.999999997132366
2,40.33783991854367,35.592211692832656,27.662160081456328,24.407788307167344,0.5932035282138776
3,468.78293943887434,267.8759653936425,686.2170605611255,392.12403460635755,0.40587267483885225
4,287.7037111837306,112.70867036063673,197.29628881626937,77.29132963936327,0.5932035282138776
5,13.261286576089828,8.909926918310353,114.73871342391017,77.09007308168964,0.10360380137570178
6,230.00000224974983,132.00000129116077,-2.249749787120351e-6,-1.2911607575235433e-6,1.000000009781521
7,170.0000016690655,125.00000122725405,-1.6690654714183814e-6,-1.2272540354189998e-6,1.0000000098180324
8,117.00000087263912,68.00000050717487,-8.726391392003343e-7,-5.071748687713875e-7,1.000000007458454
9,119.99999965588391,89.99999974191294,3.4411609235627434e-7,2.580870545321363e-7,0.999999997132366
10,66.00000049225797,38.00000028342126,-4.922579765063639e-7,-2.8342126382184977e-7,1.000000007458454
11,119.99999965588391,89.99999974191294,3.4411608964797797e-7,2.580870572534634e-7,0.999999997132366
12,172.0290231820245,125.75914798134204,117.9709768179755,86.24085201865796,0.5932035282138776
13,-1.6315226817327455e-6,-1.4491760290684974e-6,170.00000163152268,151.00000144917604,-9.597192245486738e-9
14,17.00000012679372,10.000000074584541,-1.2679372030233955e-7,-7.458454220542824e-8,1.000000007458454
15,-1.6467949810863808e-6,-7.749623440406498e-7,170.00000164679497,80.00000077496234,-9.687029300508123e-9
