switch_name,phase,p,q,s_mag,current_rating,is_closed
632645,1,-5.6881623195432595e-22,-0.000381154965088823,0.000381154965088823,264.0,true
632645,2,229.58804104659882,150.2555392080712,274.38548732453575,264.0,true
632645,3,115.00000114182686,65.99963087067508,132.59318058514754,264.0,true
671692,1,4.287275151319519e-6,0.002649895770784883,0.002649899238980953,70.0,true
671692,2,3.842960704738433e-6,0.0026281478239023057,0.002628150633550026,70.0,true
671692,3,-71.94305659687328,0.19593617115159626,71.94332341144712,70.0,true
632633,1,325.2890600441203,1.0931452682800422,325.29089681539637,310.0,true
632633,2,132.79388418208916,-106.68269358341085,170.33911114708226,310.0,true
632633,3,320.5437685937558,-8.097502187572228,320.6460308907082,310.0,true
646611,1,0.0,0.0,0.0,264.0,true
646611,2,0.0,0.0,0.0,264.0,true
646611,3,0.0,0.0,0.0,264.0,true
