switch_name,phase,p,q,c_mag,current_rating,is_closed
670671,1,128.0,85.99688621998892,153.95735151289497,200.0,true
670671,2,115.0,65.99688778510506,132.515297738018,200.0,true
670671,3,115.0,-35.314873685409694,119.6213229706617,200.0,true
671692,1,0.0,0.0,0.0,200.0,true
671692,2,0.0,0.0,0.0,200.0,true
671692,3,0.0,0.0,0.0,200.0,true
632645,1,0.0,0.0,0.0,200.0,true
632645,2,0.0,0.0,0.0,200.0,true
632645,3,0.0,0.0,0.0,200.0,true
632633,1,160.0,109.999421540358,193.57096893467929,200.0,true
632633,2,120.0,89.99942045546794,149.4771341955518,200.0,true
632633,3,120.0,89.99941726481333,149.02129936674848,200.0,true
634675,1,0.0,0.0,0.0,200.0,true
634675,2,0.0,0.0,0.0,200.0,true
634675,3,0.0,0.0,0.0,200.0,true
646611,1,0.0,0.0003462959316144892,0.00034613903333774085,200.0,true
646611,2,-115.0,-65.99965594476919,132.9639858196488,200.0,true
646611,3,-115.0,-65.99964999798317,131.8295667131346,200.0,true
