load_id,pd_served,pshed,qd_served,qshed
1,159.99999693849225,3.0615077548645786e-6,109.99999789521341,2.104786588574825e-6
2,67.9999957827768,4.217223207092502e-6,59.9999962789207,3.7210793024655686e-6
3,399.00015489017454,755.9998451098254,228.00008850867115,431.9999114913288
4,484.99996992127564,3.0078724364557274e-5,189.9999882165822,1.178341778995673e-5
5,127.99999400940747,5.990592526927685e-6,85.99999597507065,4.0249293533634045e-6
6,229.99998189279566,1.810720434036739e-5,131.99998960803924,1.0391960756805929e-5
7,169.99999261666437,7.383335628219356e-6,124.99999457107674,5.428923259387375e-6
8,117.00000009023552,-9.023551683640108e-8,68.00000005244458,-5.244457668140967e-8
9,119.99999770386918,2.296130816148434e-6,89.99999827790188,1.7220981192167528e-6
10,66.00000005090209,-5.09020878780575e-8,38.00000002930726,-2.930725884198182e-8
11,119.99999770386918,2.296130816148434e-6,89.99999827790188,1.7220981192167528e-6
12,289.99998201478337,1.798521662976782e-5,211.99998685218645,1.3147813547220721e-5
13,169.9999917491389,8.250861100123075e-6,150.99999267129397,7.328706033149501e-6
14,17.000000013111144,-1.3111144170352418e-8,10.000000007712437,-7.712436911333498e-9
15,165.59999158111043,4.40000841888957,77.9294078028755,2.0705921971244976
