load_id,pd_served,pshed,qd_served,qshed
1,96.66165666130092,63.338343338699076,66.45488895464439,43.54511104535561
2,59.11957248034735,8.880427519652649,52.164328659130014,7.835671340869986
3,1091.6616566812409,63.338343318759144,623.8066609607091,36.19333903929089
4,421.661656661301,63.33834333869902,165.1870407539117,24.812959246088298
5,64.66165666130095,63.33834333869905,43.44455056931158,42.55544943068842
6,168.94654002069583,61.053459979304165,96.96062296839935,35.03937703160065
7,107.92131209164393,62.07868790835607,79.35390594973818,45.64609405026182
8,53.661656719948404,63.338343280051596,31.18797142697856,36.812028573021436
9,72.4962424959757,47.50375750402431,54.37218187198177,35.62781812801823
10,30.270678149714485,35.729321850285515,17.42857226801743,20.57142773198257
11,72.4962424959757,47.50375750402431,54.37218187198177,35.62781812801823
12,252.1275885191284,37.87241148087159,184.3139612622594,27.686038737740603
13,106.66165667127102,63.33834332872898,94.7406479844819,56.259352015518104
14,7.79699285674464,9.203007143255359,4.586466386320376,5.413533613679624
15,114.7272088763604,55.27279112363961,53.98927476534607,26.010725234653933
