LoadID,BusName,OriginalDemand,EfficientRelaxedShed,EfficientIntegerShed,EqualityMinRelaxedShed,EqualityMinIntegerShed,PropFairRelaxedShed,PropFairIntegerShed
4,675,485.0,392.5806999461578,485.0,232.76671958504085,485.0,353.0921525244891,485.0
1,634,160.0,0.21171174918237134,0.0,160.00000128695675,160.0,24.88729551126976,0.0
12,675,290.0,38.79136227018747,290.0,124.31241515674678,290.0,144.3951438368019,290.0
2,675,68.0,0.08997660758209726,0.0,67.99994425170405,68.0,4.5359018100345917e-7,0.0
6,646,230.0,229.26540081667397,0.0,229.9999972398831,230.0,53.06244977386741,0.0
11,634,120.0,0.15878222709150971,0.0,119.99999541846756,120.0,8.007029051925579e-7,0.0
13,692,170.0,0.2249528686394725,0.0,170.00000117235058,170.0,29.551021139342463,0.0
5,652,128.0,128.00000063620607,0.0,128.00000127919452,128.0,3.820336672049457e-6,0.0
15,611,170.0,132.44181630572254,0.0,133.22652344192065,170.0,5.864924090203231e-6,0.0
14,670,17.0,-2.1213096466704934e-8,0.0,16.999968245806855,17.0,-2.65651716508094e-8,0.0
7,645,170.0,170.00000107400527,0.0,169.99999670962737,170.0,49.25218749565624,0.0
8,670,117.0,-2.588615332967073e-7,0.0,49.0906972793075,117.0,-1.806267165979549e-7,0.0
10,670,66.0,-1.4363235443778735e-7,0.0,0.00017323540873526904,66.0,-1.0296854502910976e-7,0.0
9,634,120.0,119.99998077801793,0.0,0.005198160168487384,120.0,3.257835483855972e-6,0.0
3,671,1155.0,235.1752922466218,1155.0,232.76672001498676,1155.0,889.794852883648,1155.0
