load_id,pd,qd,pshed,qshed,z_demand
1,160.0,110.0,0.0,0.0,1.0
2,6.319223871801834,5.575785769236913,61.68077612819817,54.424214230763084,0.09292976282061521
3,97.82170525092499,55.89811728624285,1057.1782947490751,604.1018827137572,0.08469411710036795
4,45.070934967998376,17.65665493591689,439.92906503200163,172.3433450640831,0.09292976282061521
5,128.0,86.0,0.0,0.0,1.0
6,230.0,132.0,0.0,0.0,1.0
7,57.57862186491908,42.337221959499324,112.42137813508091,82.66277804050068,0.3386977756759946
8,117.0,68.0,0.0,0.0,1.0
9,120.0,90.0,0.0,0.0,1.0
10,66.0,38.0,0.0,0.0,1.0
11,120.0,90.0,0.0,0.0,1.0
12,26.94963121797841,19.701109717970425,263.05036878202156,192.29889028202956,0.09292976282061521
13,0.0,0.0,170.0,151.0,0.0
14,17.0,10.0,0.0,0.0,1.0
15,170.0,80.0,0.0,0.0,1.0
