bus_name,phase,voltage_pu
611,A,1.0271272634544222
611,B,1.0206040279368422
611,C,1.0134961837965306
632,A,1.0284203982373397
632,B,1.0219199776399772
632,C,1.0186632991891313
633,A,1.0284203947777018
633,B,1.0219199754950212
633,C,1.0186632966858002
634,A,1.0273578116756228
634,B,1.0228362785264
634,C,1.0178227561924662
645,A,1.0284203982373397
645,B,1.0219199747086205
645,C,1.0186632972312017
646,A,1.0289835342962879
646,B,1.0202390635875696
646,C,1.0176166181745294
652,A,1.021206081517882
652,B,1.022773436040212
652,C,1.0141236808399183
670,A,1.0274858452459503
670,B,1.0208999748097112
670,C,1.0155319263679605
671,A,1.02748584252576
671,B,1.0208999742547615
671,C,1.0155319229009316
675,A,1.0273578109207486
675,B,1.0228362784200942
675,C,1.0178227557368698
680,A,1.0274858557495514
680,B,1.0208999884939818
680,C,1.0155319375012704
684,A,1.0262995370464627
684,B,1.0211435152739625
684,C,1.014479251984295
692,A,1.0273580802900304
692,B,1.02283652685756
692,C,1.0178230579708656
rg60,A,1.0299999999999998
rg60,B,1.03
rg60,C,1.0299999999999998
