bus_name,phase,voltage_pu
611,A,1.0031752884592233
611,B,1.0227146159400153
611,C,0.9909175696122342
632,A,1.008951128360686
632,B,1.0270832578463045
632,C,1.0010001475468424
633,A,1.0089511241381786
633,B,1.0270832558193679
633,C,1.0010001439833838
634,A,1.0066981139651088
634,B,1.0287118716194767
634,C,0.9982872688613129
645,A,0.0
645,B,0.0
645,C,0.0
646,A,0.0
646,B,0.0
646,C,0.0
652,A,0.9971112549314132
652,B,1.0249117345113647
652,C,0.9916423648288811
670,A,1.003543854475083
670,B,1.0229913528141814
670,C,0.9930973200714684
671,A,1.0035438456035226
671,B,1.02299134629004
671,C,0.9930973103757577
675,A,1.0066981124989969
675,B,1.0287118716194765
675,C,0.9982872673829212
680,A,1.0035438584551475
680,B,1.0229913606605305
680,C,0.9930973246398345
684,A,1.002327912635524
684,B,1.0232516423022673
684,C,0.9919762938682768
692,A,1.0049181778431349
692,B,1.0291872867275864
692,C,0.9971450945224929
rg60,A,1.03
rg60,B,1.03
rg60,C,1.03
