bus_name,phase,voltage_pu
611,A,459.3739664926517
611,B,414.0136708717585
611,C,2.579776341473918
632,A,1.0320758767410285
632,B,1.0261713549224047
632,C,1.0246756385165272
633,A,0.002368640344388872
633,B,0.7844913084888941
633,C,0.9561251617698149
634,A,0.0023686396329092177
634,B,0.7844913044767111
634,C,0.9561251571136368
645,A,92.85460647609202
645,B,849.7677768913098
645,C,596.5438528645352
646,A,92.85460622676464
646,B,849.7677772642231
646,C,596.5438507190336
652,A,459.37303190094866
652,B,414.01285196258505
652,C,1.879170787596286
670,A,1.0327681671992472
670,B,1.0248944889244938
670,C,1.0229089163242882
671,A,459.3722757484201
671,B,414.01206870603977
671,C,1.8762668349454792
675,A,0.006199926368888211
675,B,1.167143356800462
675,C,1.8014956322034048
680,A,459.37228270294145
680,B,414.0120760932544
680,C,1.8762680040337258
684,A,459.37303752083113
684,B,414.0128450758331
684,C,1.8791682933457183
692,A,0.044456075962949725
692,B,1.1805464089989843
692,C,0.8186748745772273
rg60,A,1.03
rg60,B,1.03
rg60,C,1.03
