load_id,pd_served,pshed,qd_served,qshed
1,96.66165666130092,63.338343338699076,66.45488895464439,43.54511104535561
2,59.119572480347344,8.880427519652656,52.16432865913001,7.835671340869993
3,1091.661656681241,63.338343318758916,623.8066609607092,36.19333903929078
4,421.6616566613009,63.338343338699076,165.1870407539117,24.812959246088298
5,64.66165666130094,63.33834333869906,43.444550569311566,42.555449430688434
6,171.53308210898453,58.46691789101547,98.44507321037374,33.554926789626265
7,112.69483565637911,57.30516434362089,82.86384974733758,42.13615025266242
8,53.66165671994841,63.33834328005159,31.187971426978564,36.812028573021436
9,72.4962424959757,47.50375750402431,54.37218187198177,35.62781812801823
10,30.270678149714488,35.729321850285515,17.428572268017433,20.571427731982567
11,72.4962424959757,47.50375750402431,54.37218187198177,35.62781812801823
12,252.12758851912838,37.87241148087162,184.31396126225937,27.68603873774063
13,106.661656671271,63.338343328728996,94.74064798448188,56.25935201551812
14,7.796992856744641,9.203007143255359,4.586466386320377,5.413533613679623
15,113.98072709237631,56.01927290762369,53.6379892199418,26.3620107800582
