switch_name,phase,p,q,c_mag,current_rating,is_closed
670671,1,169.85084073883561,105.59683798072514,199.99999999995396,200.0,true
670671,2,84.81072829144493,48.46050308848472,97.6794754462032,200.0,true
670671,3,84.81072829170925,40.31696179085617,93.90589426234315,200.0,true
671692,1,0.0,0.0,0.0,200.0,true
671692,2,0.0,0.0,0.0,200.0,true
671692,3,0.0,0.0,0.0,200.0,true
632645,1,0.0,-0.00034765193160524177,0.0003468574963759246,200.0,true
632645,2,165.44005819362457,112.76187619484175,199.99999999963367,200.0,true
632645,3,55.05527252248115,31.596591304425626,63.30129885834559,200.0,true
632633,1,187.4154788382461,71.12579327643587,199.99999999994455,200.0,true
632633,2,120.0,26.690409867901618,122.80100323254763,200.0,true
632633,3,147.41547883831743,51.044257401124085,155.56898996242276,200.0,true
634675,1,27.415478839065468,-38.8736290400025,47.59136027722445,200.0,true
634675,2,0.0,-63.309012771111036,63.29736401347345,200.0,true
634675,3,27.415478838931993,-38.95516425645129,47.62735301237363,200.0,true
646611,1,0.0,0.0,0.0,200.0,true
646611,2,0.0,0.0,0.0,200.0,true
646611,3,0.0,0.0,0.0,200.0,true
