config_bits,load_id,pshed
0010011,1,0.0
0010011,2,68.0
0010011,3,0.0
0010011,4,485.0
0010011,5,0.0
0010011,6,0.0
0010011,7,0.0
0010011,8,0.0
0010011,9,0.0
0010011,10,0.0
0010011,11,200.0
0010011,12,0.0
0010011,13,0.0
0010011,14,0.0
0010011,15,0.0
0010011,16,0.0
0010011,17,290.0
0010011,18,170.0
0010011,19,0.0
0010011,20,0.0
0010111,1,0.0
0010111,2,68.0
0010111,3,0.0
0010111,4,485.0
0010111,5,0.0
0010111,6,0.0
0010111,7,0.0
0010111,8,0.0
0010111,9,0.0
0010111,10,0.0
0010111,11,200.0
0010111,12,0.0
0010111,13,0.0
0010111,14,0.0
0010111,15,0.0
0010111,16,0.0
0010111,17,290.0
0010111,18,170.0
0010111,19,0.0
0010111,20,0.0
0011011,1,0.0
0011011,2,68.0
0011011,3,0.0
0011011,4,485.0
0011011,5,0.0
0011011,6,0.0
0011011,7,0.0
0011011,8,0.0
0011011,9,0.0
0011011,10,0.0
0011011,11,200.0
0011011,12,0.0
0011011,13,0.0
0011011,14,0.0
0011011,15,0.0
0011011,16,0.0
0011011,17,290.0
0011011,18,170.0
0011011,19,0.0
0011011,20,0.0
0011111,1,0.0
0011111,2,68.0
0011111,3,0.0
0011111,4,485.0
0011111,5,0.0
0011111,6,0.0
0011111,7,0.0
0011111,8,0.0
0011111,9,0.0
0011111,10,170.0
0011111,11,0.0
0011111,12,0.0
0011111,13,0.0
0011111,14,0.0
0011111,15,0.0
0011111,16,0.0
0011111,17,290.0
0011111,18,170.0
0011111,19,0.0
0011111,20,0.0
0110011,1,0.0
0110011,2,0.0
0110011,3,0.0
0110011,4,0.0
0110011,5,0.0
0110011,6,0.0
0110011,7,50.0
0110011,8,10.0
0110011,9,0.0
0110011,10,0.0
0110011,11,200.0
0110011,12,0.0
0110011,13,0.0
0110011,14,135.0
0110011,15,0.0
0110011,16,0.0
0110011,17,0.0
0110011,18,170.0
0110011,19,0.0
0110011,20,0.0
0110111,1,0.0
0110111,2,0.0
0110111,3,0.0
0110111,4,0.0
0110111,5,0.0
0110111,6,0.0
0110111,7,50.0
0110111,8,10.0
0110111,9,0.0
0110111,10,0.0
0110111,11,200.0
0110111,12,0.0
0110111,13,0.0
0110111,14,135.0
0110111,15,0.0
0110111,16,0.0
0110111,17,0.0
0110111,18,170.0
0110111,19,0.0
0110111,20,0.0
0111011,1,0.0
0111011,2,0.0
0111011,3,0.0
0111011,4,0.0
0111011,5,0.0
0111011,6,0.0
0111011,7,50.0
0111011,8,10.0
0111011,9,0.0
0111011,10,0.0
0111011,11,200.0
0111011,12,0.0
0111011,13,0.0
0111011,14,135.0
0111011,15,0.0
0111011,16,0.0
0111011,17,0.0
0111011,18,170.0
0111011,19,0.0
0111011,20,0.0
0111111,1,0.0
0111111,2,0.0
0111111,3,0.0
0111111,4,0.0
0111111,5,0.0
0111111,6,0.0
0111111,7,50.0
0111111,8,10.0
0111111,9,0.0
0111111,10,0.0
0111111,11,200.0
0111111,12,0.0
0111111,13,0.0
0111111,14,135.0
0111111,15,0.0
0111111,16,0.0
0111111,17,0.0
0111111,18,170.0
0111111,19,0.0
0111111,20,0.0
1011111,1,0.0
1011111,2,0.0
1011111,3,0.0
1011111,4,0.0
1011111,5,0.0
1011111,6,0.0
1011111,7,50.0
1011111,8,10.0
1011111,9,0.0
1011111,10,0.0
1011111,11,200.0
1011111,12,0.0
1011111,13,0.0
1011111,14,135.0
1011111,15,0.0
1011111,16,0.0
1011111,17,0.0
1011111,18,170.0
1011111,19,0.0
1011111,20,0.0
1101111,1,0.0
1101111,2,0.0
1101111,3,0.0
1101111,4,0.0
1101111,5,0.0
1101111,6,0.0
1101111,7,50.0
1101111,8,10.0
1101111,9,0.0
1101111,10,0.0
1101111,11,200.0
1101111,12,0.0
1101111,13,0.0
1101111,14,135.0
1101111,15,0.0
1101111,16,0.0
1101111,17,0.0
1101111,18,170.0
1101111,19,0.0
1101111,20,0.0
1110011,1,0.0
1110011,2,0.0
1110011,3,0.0
1110011,4,0.0
1110011,5,0.0
1110011,6,0.0
1110011,7,50.0
1110011,8,10.0
1110011,9,0.0
1110011,10,0.0
1110011,11,200.0
1110011,12,0.0
1110011,13,0.0
1110011,14,135.0
1110011,15,0.0
1110011,16,0.0
1110011,17,0.0
1110011,18,170.0
1110011,19,0.0
1110011,20,0.0
1110111,1,0.0
1110111,2,0.0
1110111,3,0.0
1110111,4,0.0
1110111,5,0.0
1110111,6,0.0
1110111,7,50.0
1110111,8,10.0
1110111,9,0.0
1110111,10,0.0
1110111,11,200.0
1110111,12,0.0
1110111,13,0.0
1110111,14,135.0
1110111,15,0.0
1110111,16,0.0
1110111,17,0.0
1110111,18,170.0
1110111,19,0.0
1110111,20,0.0
1111011,1,0.0
1111011,2,0.0
1111011,3,0.0
1111011,4,0.0
1111011,5,0.0
1111011,6,0.0
1111011,7,50.0
1111011,8,10.0
1111011,9,0.0
1111011,10,0.0
1111011,11,200.0
1111011,12,0.0
1111011,13,0.0
1111011,14,135.0
1111011,15,0.0
1111011,16,0.0
1111011,17,0.0
1111011,18,170.0
1111011,19,0.0
1111011,20,0.0
1111100,1,0.0
1111100,2,0.0
1111100,3,0.0
1111100,4,0.0
1111100,5,0.0
1111100,6,0.0
1111100,7,50.0
1111100,8,10.0
1111100,9,0.0
1111100,10,0.0
1111100,11,200.0
1111100,12,0.0
1111100,13,0.0
1111100,14,135.0
1111100,15,0.0
1111100,16,0.0
1111100,17,0.0
1111100,18,170.0
1111100,19,0.0
1111100,20,0.0
1111101,1,0.0
1111101,2,0.0
1111101,3,0.0
1111101,4,0.0
1111101,5,0.0
1111101,6,0.0
1111101,7,50.0
1111101,8,10.0
1111101,9,0.0
1111101,10,0.0
1111101,11,200.0
1111101,12,0.0
1111101,13,0.0
1111101,14,135.0
1111101,15,0.0
1111101,16,0.0
1111101,17,0.0
1111101,18,170.0
1111101,19,0.0
1111101,20,0.0
1111110,1,0.0
1111110,2,0.0
1111110,3,0.0
1111110,4,0.0
1111110,5,0.0
1111110,6,0.0
1111110,7,50.0
1111110,8,10.0
1111110,9,0.0
1111110,10,0.0
1111110,11,200.0
1111110,12,0.0
1111110,13,0.0
1111110,14,135.0
1111110,15,0.0
1111110,16,0.0
1111110,17,0.0
1111110,18,170.0
1111110,19,0.0
1111110,20,0.0
